,ID,Date,Time,Qtr,Special Day,Online Sale Offers,Day of week,Gender,Customer ID,Product-Name,Item-Status,Quantity,Item Price,Shipping-Price,Ship-City,Ship-State,Ship-Postal-Code,Category,Total,Author,Publication,Profit %,Profit (INR),Cost Price
0,1,2018-01-01,08:57:00,1,1,1,1,F,B07FWXWZT,Database System Concepts (Int'l Ed),Shipped,1,999.0,85.0,Hyderabad,Telangana,500073,College,1084.0,Avi Silberschatz,Mcgraw-Hill,13,129.87,869.13
1,2,2018-01-02,02:04:00,1,1,1,2,M,B07FWVXXU,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,640.0,85.0,Dharmapuri,Tamil Nadu,636701,Competition ,725.0,Team Of Engineers Academy, Engineers Academy Publication,17,108.8,531.2
2,3,2018-01-03,05:08:00,1,1,1,3,M,B07FWVXZS,Objective Type Pharmacy,Shipped,1,715.0,85.0,Guwahati,Assam,781024,Competition ,800.0,Dr. Mohammed Ali,Bhuteraenterprises,17,121.55,593.45
3,4,2018-01-04,16:06:00,1,0,1,4,F,B07FWYXVQ,A Text Book of Optics,Shipped,1,565.0,85.0,Palani,Tamil Nadu,624601,College,650.0,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
4,5,2018-01-04,20:12:00,1,0,0,4,F,B07FWXATQ,Surveying - Vol. 2,Shipped,1,494.0,85.0,Patna,Bihar,800013,College,579.0,Duggal ,Mcgraw Hill Education,13,64.22,429.78
5,6,2018-01-05,02:25:00,1,0,0,5,M,B07FWYYRZ,Political Theory,Shipped,1,425.0,85.0,Dehradun,Uttarakhand,248001,College,510.0,Dr. Mohinder Slariya ,S. Vinesh & Co,13,55.25,369.75
6,7,2018-01-05,02:59:00,1,0,0,5,M,B07FWYSTS,A Text Book of Optics,Shipped,1,565.0,85.0,Bhawanipatna,Odisha,766001,College,650.0,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
7,8,2018-01-05,10:46:00,1,0,0,5,F,B07FWXVTV,A Text Book of Optics,Shipped,1,565.0,85.0,Bongaigaon,Assam,783380,College,650.0,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
8,9,2018-01-06,03:11:00,1,0,0,6,M,B07FWWTVV,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics,Shipped,1,200.0,85.0,Dipka,Chhattisgarh,495452,Competition ,285.0, Amit M Agarwal, Arihant  (Publication),17,34.0,166.0
9,10,2018-01-06,05:30:00,1,0,0,6,F,B07FWXSXU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Thiruvananthapuram,Kerala,695015,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
10,11,2018-01-06,06:28:00,1,0,0,6,M,B07FWXSVW,A Textbook of Microbiology,Shipped,1,543.0,85.0,Maunath Bhanjan,Uttar Pradesh,275103,College,628.0,D. K. Maheshwari, Arise Publishers & Distributors ,13,70.59,472.41
11,12,2018-01-06,13:52:00,1,0,0,6,M,B07FWYXQQ,A Textbook of Microbiology,Shipped,1,543.0,85.0,Dharmanagar,Tripura,799250,College,628.0,D. K. Maheshwari, Arise Publishers & Distributors ,13,70.59,472.41
12,13,2018-01-06,14:41:00,1,0,0,6,F,B07FWYXZX,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),Shipped,1,645.0,85.0,Bhubaneswar,Odisha,751024,College,730.0,Dr.H.L.Ahuja,S.Chand (G/L) & Company Ltd,13,83.85,561.15
13,14,2018-01-07,06:01:00,1,0,0,7,M,B07FWYVTZ,A Text Book of Optics,Shipped,1,565.0,85.0,Navi Mumbai,Maharashtra,400706,College,650.0,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
14,15,2018-01-07,06:41:00,1,0,0,7,M,B07FWVYWQ,A Textbook of Microbiology,Shipped,1,543.0,85.0,Ajmer,Rajasthan,305801,College,628.0,D. K. Maheshwari, Arise Publishers & Distributors ,13,70.59,472.41
15,16,2018-01-07,16:22:00,1,0,0,7,F,B07FWYTRU,Database System Concepts (Int'l Ed),Shipped,1,999.0,85.0,Surat,Gujarat,395007,College,1084.0,Avi Silberschatz,Mcgraw-Hill,13,129.87,869.13
16,17,2018-01-08,06:50:00,1,0,0,1,F,B07FWXWVY,Database System Concepts (Int'l Ed),Shipped,1,999.0,85.0,Shimla,Himachal Pradesh,171001,College,1084.0,Avi Silberschatz,Mcgraw-Hill,13,129.87,869.13
17,18,2018-01-08,10:42:00,1,0,0,1,F,B07FWXSZQ,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Nagpur,Maharashtra,440016,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
18,19,2018-01-08,10:44:00,1,0,0,1,F,B07FWYZWR,ESE 2020 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,450.0,85.0,Bengaluru,Karnataka,560037,Competition ,535.0,Made Easy Editorial Board,Made Easy Publications,17,76.5,373.5
