,Quantity,Item Price,Shipping-Price,Total,Profit %,Profit (INR),Cost Price,clusters,cluster
0,1,999.0,85.0,1084.0,13,129.87,869.13,1,purple
1,1,640.0,85.0,725.0,17,108.8,531.2,3,black
2,1,715.0,85.0,800.0,17,121.55,593.45,3,black
3,1,565.0,85.0,650.0,13,73.45,491.55,3,black
4,1,494.0,85.0,579.0,13,64.22,429.78,0,pink
5,1,425.0,85.0,510.0,13,55.25,369.75,0,pink
6,1,565.0,85.0,650.0,13,73.45,491.55,3,black
7,1,565.0,85.0,650.0,13,73.45,491.55,3,black
8,1,200.0,85.0,285.0,17,34.0,166.0,2,dark purple
9,1,610.0,85.0,695.0,17,103.7,506.3,3,black
10,1,543.0,85.0,628.0,13,70.59,472.41,3,black
11,1,543.0,85.0,628.0,13,70.59,472.41,3,black
12,1,645.0,85.0,730.0,13,83.85,561.15,3,black
13,1,565.0,85.0,650.0,13,73.45,491.55,3,black
14,1,543.0,85.0,628.0,13,70.59,472.41,3,black
15,1,999.0,85.0,1084.0,13,129.87,869.13,1,purple
16,1,999.0,85.0,1084.0,13,129.87,869.13,1,purple
17,1,610.0,85.0,695.0,17,103.7,506.3,3,black
18,1,450.0,85.0,535.0,17,76.5,373.5,0,pink
19,1,640.0,85.0,725.0,17,108.8,531.2,3,black
20,1,565.0,85.0,650.0,13,73.45,491.55,3,black
21,1,690.0,85.0,775.0,17,117.3,572.7,3,black
22,1,999.0,85.0,1084.0,13,129.87,869.13,1,purple
23,1,485.0,85.0,570.0,13,63.05,421.95,0,pink
24,1,1480.0,85.0,1565.0,13,192.4,1287.6,1,purple
25,1,1480.0,85.0,1565.0,13,192.4,1287.6,1,purple
26,1,959.0,85.0,1044.0,18,172.62,786.38,1,purple
27,1,260.0,85.0,345.0,17,44.2,215.8,0,pink
28,1,610.0,85.0,695.0,17,103.7,506.3,3,black
29,1,610.0,85.0,695.0,17,103.7,506.3,3,black
30,1,200.0,85.0,285.0,17,34.0,166.0,2,dark purple
31,1,910.0,85.0,995.0,13,118.3,791.7,1,purple
32,1,610.0,85.0,695.0,17,103.7,506.3,3,black
33,1,465.0,85.0,550.0,13,60.45,404.55,0,pink
34,1,610.0,85.0,695.0,17,103.7,506.3,3,black
35,1,999.0,85.0,1084.0,13,129.87,869.13,1,purple
36,1,959.0,85.0,1044.0,18,172.62,786.38,1,purple
37,1,425.0,85.0,510.0,13,55.25,369.75,0,pink
38,1,645.0,85.0,730.0,13,83.85,561.15,3,black
39,1,610.0,85.0,695.0,17,103.7,506.3,3,black
